FREQ[Hz],Cp,Rp
 1.00000k, 1.00823n, 1.01057k
 1.03156k, 950.509p, 1.01054k
 1.06412k, 897.022p, 1.01049k
 1.09770k, 847.988p, 1.01043k
 1.13235k, 800.927p, 1.01040k
 1.16808k, 754.453p, 1.01036k
 1.20495k, 711.271p, 1.01033k
 1.24298k, 672.834p, 1.01029k
 1.28221k, 632.046p, 1.01030k
 1.32268k, 597.613p, 1.01026k
 1.36442k, 562.815p, 1.01024k
 1.40748k, 532.716p, 1.01021k
 1.45191k, 501.893p, 1.01019k
 1.49773k, 474.730p, 1.01016k
 1.54500k, 447.704p, 1.01015k
 1.59376k, 420.958p, 1.01014k
 1.64406k, 397.963p, 1.01012k
 1.69595k, 375.479p, 1.01010k
 1.74947k, 355.094p, 1.01008k
 1.80469k, 335.129p, 1.01006k
 1.86165k, 316.352p, 1.01005k
 1.92040k, 297.777p, 1.01004k
 1.98101k, 281.391p, 1.01003k
 2.04353k, 264.616p, 1.01001k
 2.10803k, 250.877p, 1.01000k
 2.17456k, 236.750p, 1.00998k
 2.24319k, 223.615p, 1.00996k
 2.31399k, 211.181p, 1.00994k
 2.38702k, 198.570p, 1.00993k
 2.46236k, 187.621p, 1.00992k
 2.54007k, 177.387p, 1.00992k
 2.62024k, 167.740p, 1.00989k
 2.70293k, 160.853p, 1.00986k
 2.78824k, 149.642p, 1.00988k
 2.87624k, 141.442p, 1.00987k
 2.96702k, 133.413p, 1.00986k
 3.06066k, 126.882p, 1.00983k
 3.15725k, 120.099p, 1.00983k
 3.25690k, 112.987p, 1.00986k
 3.35969k, 107.470p, 1.00986k
 3.46572k, 102.892p, 1.00984k
 3.57511k, 97.3397p, 1.00984k
 3.68794k, 92.2933p, 1.00984k
 3.80433k, 87.8119p, 1.00984k
 3.92440k, 82.7558p, 1.00984k
 4.04826k, 78.4299p, 1.00985k
 4.17603k, 74.9112p, 1.00983k
 4.30782k, 69.9854p, 1.00980k
 4.44378k, 66.2317p, 1.00979k
 4.58403k, 62.1291p, 1.00978k
 4.72871k, 58.8038p, 1.00977k
 4.87795k, 55.5355p, 1.00975k
 5.03190k, 51.6289p, 1.00976k
 5.19071k, 49.5810p, 1.00973k
 5.35454k, 46.7122p, 1.00974k
 5.52353k, 44.8316p, 1.00973k
 5.69786k, 42.0972p, 1.00973k
 5.87769k, 39.9457p, 1.00971k
 6.06319k, 38.1103p, 1.00973k
 6.25455k, 36.0540p, 1.00971k
 6.45195k, 34.2258p, 1.00971k
 6.65558k, 31.9577p, 1.00968k
 6.86564k, 30.9270p, 1.00970k
 7.08232k, 29.6477p, 1.00970k
 7.30584k, 27.9321p, 1.00969k
 7.53642k, 26.2078p, 1.00966k
 7.77428k, 25.3440p, 1.00970k
 8.01964k, 24.1120p, 1.00971k
 8.27275k, 24.4014p, 1.00978k
 8.53384k, 22.0945p, 1.00971k
 8.80318k, 21.0591p, 1.00971k
 9.08102k, 20.2230p, 1.00971k
 9.36762k, 19.2629p, 1.00972k
 9.66327k, 18.6763p, 1.00971k
 9.96825k, 17.6775p, 1.00973k
 10.2829k, 16.8195p, 1.00969k
 10.6074k, 16.0699p, 1.00969k
 10.9422k, 15.3594p, 1.00968k
 11.2875k, 14.7195p, 1.00967k
 11.6438k, 14.1606p, 1.00968k
 12.0112k, 13.5997p, 1.00968k
 12.3903k, 13.0989p, 1.00968k
 12.7814k, 12.5952p, 1.00968k
 13.1848k, 12.2657p, 1.00968k
 13.6009k, 11.8065p, 1.00967k
 14.0302k, 11.4034p, 1.00967k
 14.4730k, 11.0310p, 1.00967k
 14.9297k, 10.6597p, 1.00968k
 15.4009k, 10.2656p, 1.00968k
 15.8870k, 9.99141p, 1.00968k
 16.3884k, 9.70242p, 1.00968k
 16.9056k, 9.46312p, 1.00967k
 17.4392k, 9.16804p, 1.00968k
 17.9896k, 8.91791p, 1.00967k
 18.5574k, 8.68284p, 1.00967k
 19.1430k, 8.38653p, 1.00968k
 19.7472k, 8.15936p, 1.00968k
 20.3704k, 7.95124p, 1.00968k
 21.0133k, 7.80324p, 1.00967k
 21.6766k, 7.61448p, 1.00967k
 22.3607k, 7.41846p, 1.00967k
 23.0664k, 7.25597p, 1.00967k
 23.7944k, 7.11647p, 1.00967k
 24.5454k, 6.94432p, 1.00967k
 25.3201k, 6.83163p, 1.00966k
 26.1192k, 6.70641p, 1.00966k
 26.9435k, 6.62639p, 1.00966k
 27.7939k, 6.46985p, 1.00967k
 28.6711k, 6.36080p, 1.00967k
 29.5760k, 6.23988p, 1.00967k
 30.5094k, 6.16704p, 1.00966k
 31.4723k, 6.11977p, 1.00966k
 32.4656k, 5.98094p, 1.00966k
 33.4902k, 5.87911p, 1.00965k
 34.5472k, 5.81212p, 1.00965k
 35.6376k, 5.74027p, 1.00965k
 36.7623k, 5.68028p, 1.00963k
 37.9226k, 5.58549p, 1.00963k
 39.1194k, 3.50421p, 1.01026k
 40.3541k, 5.48371p, 1.00962k
 41.6277k, 5.41959p, 1.00962k
 42.9415k, 5.38858p, 1.00962k
 44.2967k, 5.33758p, 1.00961k
 45.6948k, 5.28218p, 1.00961k
 47.1370k, 5.26126p, 1.00960k
 48.6246k, 5.21112p, 1.00959k
 50.1593k, 5.18889p, 1.00958k
 51.7423k, 5.15896p, 1.00957k
 53.3754k, 5.11102p, 1.00956k
 55.0599k, 5.08875p, 1.00955k
 56.7977k, 5.04259p, 1.00954k
 58.5903k, 5.02017p, 1.00953k
 60.4394k, 4.97665p, 1.00951k
 62.3469k, 4.95762p, 1.00950k
 64.3147k, 4.92848p, 1.00949k
 66.3445k, 4.87381p, 1.00947k
 68.4384k, 4.85751p, 1.00946k
 70.5984k, 4.83519p, 1.00943k
 72.8265k, 4.81397p, 1.00941k
 75.1249k, 4.81169p, 1.00939k
 77.4960k, 4.79445p, 1.00937k
 79.9418k, 4.76174p, 1.00933k
 82.4649k, 4.73684p, 1.00930k
 85.0675k, 4.71678p, 1.00927k
 87.7523k, 4.69207p, 1.00924k
 90.5218k, 4.66598p, 1.00921k
 93.3788k, 4.67456p, 1.00917k
 96.3259k, 4.64364p, 1.00913k
 99.3660k, 4.61863p, 1.00908k
 102.502k, 4.59714p, 1.00905k
 105.737k, 4.57710p, 1.00900k
 109.074k, 4.55424p, 1.00896k
 112.517k, 4.54692p, 1.00891k
 116.068k, 4.52773p, 1.00887k
 119.731k, 4.50388p, 1.00880k
 123.510k, 4.49096p, 1.00875k
 127.408k, 4.47760p, 1.00870k
 131.429k, 4.45854p, 1.00865k
 135.577k, 4.44878p, 1.00859k
 139.856k, 4.42797p, 1.00851k
 144.270k, 4.40986p, 1.00842k
 148.823k, 4.39697p, 1.00832k
 153.520k, 4.39011p, 1.00824k
 158.365k, 4.39793p, 1.00817k
 163.364k, 4.38885p, 1.00808k
 168.520k, 4.39096p, 1.00798k
 173.838k, 4.38307p, 1.00788k
 179.325k, 4.37243p, 1.00774k
 184.984k, 4.36090p, 1.00759k
 190.823k, 4.35081p, 1.00743k
 196.845k, 4.34294p, 1.00718k
 203.058k, 4.33037p, 1.00706k
 209.466k, 4.32100p, 1.00692k
 216.077k, 4.30373p, 1.00677k
 222.897k, 4.28554p, 1.00658k
 229.932k, 4.26893p, 1.00637k
 237.189k, 4.24886p, 1.00612k
 244.674k, 4.22618p, 1.00585k
 252.397k, 4.20274p, 1.00558k
 260.362k, 4.19342p, 1.00533k
 268.580k, 4.17578p, 1.00506k
 277.056k, 4.15333p, 1.00477k
 285.800k, 4.13380p, 1.00442k
 294.821k, 4.10165p, 1.00404k
 304.125k, 4.07814p, 1.00370k
 313.724k, 4.13926p, 1.00360k
 323.625k, 4.07034p, 1.00307k
 333.839k, 4.06105p, 1.00267k
 344.375k, 4.04525p, 1.00222k
 355.244k, 4.02368p, 1.00171k
 366.456k, 3.99765p, 1.00115k
 378.022k, 3.95860p, 1.00053k
 389.952k, 3.92241p,999.832
 402.259k, 3.87509p,999.1
 414.955k, 3.83104p,998.523
 428.051k, 3.78585p,997.861
 441.561k, 3.73501p,997.108
 455.497k, 3.67512p,996.286
 469.873k, 3.60102p,995.366
 484.702k, 3.51188p,994.322
 500.000k, 3.41441p,993.146
