FREQ[Hz],Cp,Rp
 1.00000k, 41.2533n,360.004
 1.03156k, 39.1631n,359.466
 1.06412k, 37.2265n,358.945
 1.09770k, 35.3870n,358.444
 1.13235k, 33.6339n,357.962
 1.16808k, 31.9644n,357.498
 1.20495k, 30.3871n,357.047
 1.24298k, 28.8976n,356.606
 1.28221k, 27.4659n,356.18
 1.32268k, 26.1029n,355.778
 1.36442k, 24.8103n,355.372
 1.40748k, 23.5885n,354.978
 1.45191k, 22.4128n,354.605
 1.49773k, 21.2948n,354.242
 1.54500k, 20.2405n,353.878
 1.59376k, 19.2257n,353.531
 1.64406k, 18.2642n,353.198
 1.69595k, 17.3548n,352.864
 1.74947k, 16.4820n,352.54
 1.80469k, 15.6566n,352.24
 1.86165k, 14.8673n,351.937
 1.92040k, 14.1082n,351.658
 1.98101k, 13.3959n,351.372
 2.04353k, 12.7099n,351.101
 2.10803k, 12.0681n,350.835
 2.17456k, 11.4535n,350.575
 2.24319k, 10.8686n,350.326
 2.31399k, 10.3148n,350.084
 2.38702k, 9.78675n,349.843
 2.46236k, 9.28647n,349.613
 2.54007k, 8.80987n,349.385
 2.62024k, 8.35806n,349.164
 2.70293k, 7.92619n,348.948
 2.78824k, 7.51839n,348.742
 2.87624k, 7.13023n,348.538
 2.96702k, 6.76313n,348.34
 3.06066k, 6.41360n,348.143
 3.15725k, 6.08382n,347.964
 3.25690k, 5.76924n,347.793
 3.35969k, 5.48663n,347.653
 3.46572k, 5.18839n,347.458
 3.57511k, 4.91960n,347.299
 3.68794k, 4.66038n,347.128
 3.80433k, 4.42287n,346.995
 3.92440k, 4.18862n,346.805
 4.04826k, 3.97334n,346.718
 4.17603k, 3.77143n,346.581
 4.30782k, 3.57130n,346.431
 4.44378k, 3.38861n,346.284
 4.58403k, 3.21583n,346.203
 4.72871k, 3.04935n,346.088
 4.87795k, 2.88234n,345.934
 5.03190k, 2.73092n,345.817
 5.19071k, 2.58889n,345.699
 5.35454k, 2.45366n,345.59
 5.52353k, 2.32641n,345.476
 5.69786k, 2.20456n,345.367
 5.87769k, 2.09124n,345.274
 6.06319k, 1.97930n,345.168
 6.25455k, 1.87550n,345.063
 6.45195k, 1.77706n,344.971
 6.65558k, 1.68405n,344.881
 6.86564k, 1.59560n,344.788
 7.08232k, 1.51019n,344.691
