FREQ[Hz],Cp,Rp
 1.00000k, 4.33413n,493.838
 1.03156k, 4.08774n,493.806
 1.06412k, 3.86003n,493.749
 1.09770k, 3.64354n,493.71
 1.13235k, 3.44009n,493.659
 1.16808k, 3.23952n,493.644
 1.20495k, 3.05410n,493.606
 1.24298k, 2.88737n,493.568
 1.28221k, 2.71720n,493.548
 1.32268k, 2.56598n,493.521
 1.36442k, 2.41845n,493.493
 1.40748k, 2.28486n,493.462
 1.45191k, 2.15462n,493.44
 1.49773k, 2.02938n,493.417
 1.54500k, 1.91834n,493.388
 1.59376k, 1.80636n,493.373
 1.64406k, 1.70371n,493.35
 1.69595k, 1.60752n,493.31
 1.74947k, 1.51689n,493.296
 1.80469k, 1.43065n,493.277
 1.86165k, 1.35020n,493.256
 1.92040k, 1.27175n,493.244
 1.98101k, 1.20064n,493.217
 2.04353k, 1.12969n,493.204
 2.10803k, 1.06703n,493.185
 2.17456k, 1.00630n,493.168
 2.24319k, 948.267p,493.154
 2.31399k, 895.418p,493.133
 2.38702k, 844.768p,493.126
 2.46236k, 796.020p,493.105
 2.54007k, 750.998p,493.094
 2.62024k, 706.610p,493.072
 2.70293k, 663.112p,493.071
 2.78824k, 627.746p,493.044
 2.87624k, 587.918p,493.039
 2.96702k, 557.199p,493.011
 3.06066k, 527.620p,492.993
 3.15725k, 496.602p,492.984
 3.25690k, 465.260p,492.972
 3.35969k, 435.666p,492.953
 3.46572k, 423.473p,492.994
 3.57511k, 401.381p,492.99
 3.68794k, 372.471p,492.964
 3.80433k, 351.569p,492.968
 3.92440k, 334.213p,492.966
 4.04826k, 311.384p,492.971
 4.17603k, 302.415p,492.986
 4.30782k, 279.318p,492.939
 4.44378k, 263.226p,492.937
 4.58403k, 248.272p,492.931
 4.72871k, 234.898p,492.926
 4.87795k, 221.333p,492.927
 5.03190k, 208.774p,492.916
 5.19071k, 197.605p,492.913
 5.35454k, 186.249p,492.91
 5.52353k, 176.534p,492.896
 5.69786k, 166.753p,492.888
 5.87769k, 156.991p,492.882
 6.06319k, 145.634p,492.856
 6.25455k, 140.281p,492.867
 6.45195k, 132.474p,492.862
 6.65558k, 125.233p,492.86
 6.86564k, 118.134p,492.851
 7.08232k, 111.476p,492.849
 7.30584k, 106.150p,492.847
 7.53642k, 99.2443p,492.819
 7.77428k, 93.9380p,492.826
 8.01964k, 88.8053p,492.829
 8.27275k, 83.9658p,492.827
 8.53384k, 79.4927p,492.826
 8.80318k, 75.1427p,492.828
 9.08102k, 71.4323p,492.829
 9.36762k, 67.5153p,492.832
 9.66327k, 64.0455p,492.835
 9.96825k, 61.1256p,492.83
 10.2829k, 57.5487p,492.834
 10.6074k, 54.7726p,492.822
 10.9422k, 51.8054p,492.822
 11.2875k, 48.9480p,492.809
 11.6438k, 46.5460p,492.809
 12.0112k, 44.0942p,492.812
 12.3903k, 41.8298p,492.807
 12.7814k, 39.7795p,492.808
 13.1848k, 38.1354p,492.808
