FREQ[Hz],Cp,Rp
 1.00000k, 41.4237n,368.965
 1.03156k, 39.4453n,368.367
 1.06412k, 37.6092n,367.806
 1.09770k, 35.8733n,367.255
 1.13235k, 34.2123n,366.727
 1.16808k, 32.6239n,366.217
 1.20495k, 31.1124n,365.708
 1.24298k, 29.6833n,365.221
 1.28221k, 28.3038n,364.748
 1.32268k, 26.9890n,364.296
 1.36442k, 25.7390n,363.845
 1.40748k, 24.5515n,363.403
 1.45191k, 23.4054n,362.981
 1.49773k, 22.3180n,362.559
 1.54500k, 21.2865n,362.151
 1.59376k, 20.2904n,361.755
 1.64406k, 19.3443n,361.362
 1.69595k, 18.4432n,360.971
 1.74947k, 17.5800n,360.601
 1.80469k, 16.7568n,360.236
 1.86165k, 15.9728n,359.876
 1.92040k, 15.2197n,359.53
 1.98101k, 14.5079n,359.182
 2.04353k, 13.8205n,358.854
 2.10803k, 13.1761n,358.525
 2.17456k, 12.5550n,358.203
 2.24319k, 11.9637n,357.891
 2.31399k, 11.4005n,357.583
 2.38702k, 10.8609n,357.285
 2.46236k, 10.3503n,356.987
 2.54007k, 9.85816n,356.705
 2.62024k, 9.39124n,356.417
 2.70293k, 8.94150n,356.147
 2.78824k, 8.52268n,355.867
 2.87624k, 8.11665n,355.599
 2.96702k, 7.73265n,355.34
 3.06066k, 7.37061n,355.07
 3.15725k, 7.02047n,354.832
 3.25690k, 6.68515n,354.601
 3.35969k, 6.37426n,354.373
 3.46572k, 6.07718n,354.157
 3.57511k, 5.78105n,353.915
 3.68794k, 5.51062n,353.708
 3.80433k, 5.24646n,353.482
 3.92440k, 4.98581n,353.239
 4.04826k, 4.75951n,353.045
 4.17603k, 4.53484n,352.863
 4.30782k, 4.33234n,352.707
 4.44378k, 4.11520n,352.469
 4.58403k, 3.92002n,352.277
 4.72871k, 3.73397n,352.087
 4.87795k, 3.55648n,351.904
 5.03190k, 3.38789n,351.722
 5.19071k, 3.22786n,351.545
 5.35454k, 3.07549n,351.366
 5.52353k, 2.93080n,351.194
 5.69786k, 2.79151n,351.021
 5.87769k, 2.65983n,350.857
 6.06319k, 2.53894n,350.711
 6.25455k, 2.41462n,350.532
 6.45195k, 2.30011n,350.373
 6.65558k, 2.19571n,350.255
 6.86564k, 2.08860n,350.066
 7.08232k, 1.98381n,349.884
 7.30584k, 1.89867n,349.784
 7.53642k, 1.80575n,349.605
 7.77428k, 1.72304n,349.476
 8.01964k, 1.64121n,349.351
 8.27275k, 1.56346n,349.212
 8.53384k, 1.49072n,349.085
 8.80318k, 1.42085n,348.957
 9.08102k, 1.35470n,348.831
 9.36762k, 1.29158n,348.71
 9.66327k, 1.23125n,348.589
 9.96825k, 1.17696n,348.479
 10.2829k, 1.11935n,348.354
 10.6074k, 1.06737n,348.231
 10.9422k, 1.01748n,348.114
 11.2875k, 970.054p,347.994
 11.6438k, 924.965p,347.887
 12.0112k, 882.099p,347.773
 12.3903k, 841.154p,347.666
 12.7814k, 802.510p,347.559
 13.1848k, 765.611p,347.452
 13.6009k, 730.468p,347.347
 14.0302k, 697.100p,347.246
 14.4730k, 665.276p,347.146
 14.9297k, 634.800p,347.046
 15.4009k, 605.475p,346.949
 15.8870k, 577.816p,346.855
 16.3884k, 551.557p,346.76
 16.9056k, 526.521p,346.663
 17.4392k, 502.497p,346.571
 17.9896k, 479.533p,346.482
 18.5574k, 457.729p,346.392
 19.1430k, 437.003p,346.305
 19.7472k, 417.166p,346.22
 20.3704k, 398.281p,346.137
 21.0133k, 380.368p,346.05
 21.6766k, 363.188p,345.967
 22.3607k, 346.888p,345.886
 23.0664k, 331.226p,345.805
 23.7944k, 316.353p,345.727
 24.5454k, 302.090p,345.645
 25.3201k, 288.555p,345.569
 26.1192k, 275.646p,345.49
 26.9435k, 263.493p,345.411
 27.7939k, 251.710p,345.342
 28.6711k, 240.435p,345.266
 29.5760k, 229.767p,345.193
 30.5094k, 219.852p,345.116
 31.4723k, 210.244p,345.05
 32.4656k, 200.796p,344.981
 33.4902k, 191.961p,344.913
 34.5472k, 183.479p,344.845
 35.6376k, 175.557p,344.779
 36.7623k, 167.962p,344.709
 37.9226k, 160.606p,344.649
 39.1194k, 147.687p,344.796
 40.3541k, 147.030p,344.517
 41.6277k, 140.621p,344.455
 42.9415k, 134.628p,344.396
 44.2967k, 128.815p,344.334
 45.6948k, 123.337p,344.278
 47.1370k, 118.045p,344.218
 48.6246k, 113.032p,344.16
 50.1593k, 108.243p,344.1
 51.7423k, 103.688p,344.044
 53.3754k, 99.2682p,343.989
 55.0599k, 95.1244p,343.932
 56.7977k, 91.0750p,343.88
 58.5903k, 87.2982p,343.825
 60.4394k, 83.6705p,343.771
 62.3469k, 80.2405p,343.719
 64.3147k, 76.9539p,343.667
 66.3445k, 73.7569p,343.616
 68.4384k, 70.7815p,343.565
 70.5984k, 67.9360p,343.514
 72.8265k, 65.2602p,343.465
 75.1249k, 62.6625p,343.415
 77.4960k, 60.2057p,343.368
 79.9418k, 57.7973p,343.32
 82.4649k, 55.4408p,343.271
 85.0675k, 53.2879p,343.228
 87.7523k, 51.1977p,343.179
 90.5218k, 49.1273p,343.132
 93.3788k, 47.2292p,343.086
 96.3259k, 45.3738p,343.041
 99.3660k, 43.6226p,342.993
 102.502k, 41.9431p,342.95
 105.737k, 40.3841p,342.909
 109.074k, 38.8815p,342.865
 112.517k, 37.4381p,342.821
 116.068k, 36.0583p,342.778
 119.731k, 34.7150p,342.733
 123.510k, 33.4572p,342.691
 127.408k, 32.2716p,342.649
 131.429k, 31.1226p,342.607
 135.577k, 30.0129p,342.565
 139.856k, 28.9648p,342.522
 144.270k, 27.9427p,342.478
 148.823k, 26.9753p,342.434
 153.520k, 26.1006p,342.391
 158.365k, 25.2386p,342.352
 163.364k, 24.4110p,342.307
 168.520k, 23.6163p,342.264
 173.838k, 22.8586p,342.218
 179.325k, 22.1169p,342.177
 184.984k, 21.4353p,342.127
 190.823k, 20.7625p,342.083
 196.845k, 20.1517p,342.017
 203.058k, 19.5086p,341.984
 209.466k, 18.9429p,341.941
 216.077k, 18.3659p,341.895
 222.897k, 17.8323p,341.847
 229.932k, 17.3162p,341.798
 237.189k, 16.8256p,341.743
 244.674k, 16.3509p,341.691
 252.397k, 15.8935p,341.632
 260.362k, 15.4699p,341.582
 268.580k, 15.0731p,341.53
 277.056k, 14.6734p,341.47
 285.800k, 14.2889p,341.408
 294.821k, 13.9137p,341.345
 304.125k, 13.5735p,341.288
 313.724k, 13.2443p,341.299
 323.625k, 13.0187p,341.177
 333.839k, 12.7579p,341.11
 344.375k, 12.5037p,341.045
 355.244k, 12.2497p,340.971
 366.456k, 11.9977p,340.892
 378.022k, 11.7722p,340.81
 389.952k, 11.5320p,340.719
 402.259k, 11.2917p,340.622
 414.955k, 11.0195p,340.535
 428.051k, 10.7625p,340.437
 441.561k, 10.5078p,340.338
 455.497k, 10.2574p,340.226
 469.873k, 9.98608p,340.109
 484.702k, 9.72126p,339.981
 500.000k, 9.45646p,339.836
